"ADM0_PC","ADM0_ES","ADM1_PC","ADM1_ES","ADM2_PC","ADM2_ES","trimester","avg_d_mbps","avg_u_mbps","avg_d_mbps_winsorized","avg_u_mbps_winsorized","tests","college","clinic","university","school","hospital","avg_d_mbps_change","avg_u_mbps_change"
"CO","Colombia","CO05","Antioquia","CO05031","Amalfi",4,9.23275,5.01075,9.23275,5.01075,270,0,1,2,23,1,0.104029097189929,-0.509546052703129
"CO","Colombia","CO05","Antioquia","CO05034","Andes",1,4.50414285714286,2.15814285714286,4.50414285714286,2.15814285714286,581,0,0,0,1,2,NA,NA
"CO","Colombia","CO05","Antioquia","CO05034","Andes",4,4.81146875,3.47453125,4.81146875,3.47453125,532,0,0,0,1,2,0.0682318262551938,0.609963510293242
"CO","Colombia","CO05","Antioquia","CO05036","Angelopolis",1,7.46775,3.0765,7.46775,3.0765,40,0,0,0,1,2,NA,NA
"CO","Colombia","CO05","Antioquia","CO05036","Angelopolis",4,9.016,1.0368,9.016,1.0368,21,0,0,0,1,2,0.207324830102775,-0.662993661628474
"CO","Colombia","CO05","Antioquia","CO05038","Angostura",1,4.162875,0.7755,4.162875,0.7755,23,0,0,0,2,1,NA,NA
"CO","Colombia","CO05","Antioquia","CO05038","Angostura",4,6.04733333333333,1.89891666666667,6.04733333333333,1.89891666666667,73,0,0,0,2,1,0.452681940565915,1.44863528906082
"CO","Colombia","CO05","Antioquia","CO05040","Anori",1,9.142,9.175,9.142,9.175,72,0,0,0,9,0,NA,NA
"CO","Colombia","CO05","Antioquia","CO05040","Anori",4,11.2841111111111,7.70033333333333,11.2841111111111,7.70033333333333,88,0,0,0,9,0,0.234315369843701,-0.160726612170754
"CO","Colombia","CO05","Antioquia","CO05042","Santa Fe de Antioquia",1,5.41467741935484,1.54516129032258,5.41467741935484,1.54516129032258,395,0,0,0,2,1,NA,NA
"CO","Colombia","CO05","Antioquia","CO05042","Santa Fe de Antioquia",4,7.46920512820513,2.78828205128205,7.46920512820513,2.78828205128205,491,0,0,0,2,1,0.379436769678347,0.804524918366254
"CO","Colombia","CO05","Antioquia","CO05044","Anza",1,10.575,1.61475,10.575,1.61475,29,0,0,0,1,1,NA,NA
"CO","Colombia","CO05","Antioquia","CO05044","Anza",4,6.767,4.13066666666667,6.767,4.13066666666667,16,0,0,0,1,1,-0.360094562647754,1.55808432677917
"CO","Colombia","CO05","Antioquia","CO05045","Apartado",1,10.93803125,3.23059375,10.93803125,3.23059375,2967,1,0,5,35,13,NA,NA
"CO","Colombia","CO05","Antioquia","CO05045","Apartado",4,13.3326825396825,5.06974603174603,13.3326825396825,5.06974603174603,3783,1,0,5,35,13,0.218928912795211,0.569292341925082
"CO","Colombia","CO05","Antioquia","CO05051","Arboletes",1,8.188875,1.82275,8.188875,1.82275,69,0,0,0,24,1,NA,NA
"CO","Colombia","CO05","Antioquia","CO05051","Arboletes",4,5.34233333333333,1.9975,5.34233333333333,1.9975,74,0,0,0,24,1,-0.347610833803992,0.0958716225483474
"CO","Colombia","CO05","Antioquia","CO05055","Argelia",1,2.688,0.74,2.688,0.74,21,0,0,0,36,1,NA,NA
"CO","Colombia","CO05","Antioquia","CO05055","Argelia",4,6.4184,1.8888,6.4184,1.8888,46,0,0,0,36,1,1.38779761904762,1.55243243243243
"CO","Colombia","CO05","Antioquia","CO05059","Armenia",4,16.578,13.932,16.578,13.932,3,0,0,0,1,1,NA,NA
"CO","Colombia","CO05","Antioquia","CO05079","Barbosa",1,12.6453628318584,9.24919469026549,12.6148169911504,9.24089575221239,936,0,0,0,5,1,NA,NA
"CO","Colombia","CO05","Antioquia","CO05079","Barbosa",4,11.5633097345133,6.92361946902655,11.5633097345133,6.92361946902655,1375,0,0,0,5,1,-0.0833549354996449,-0.250763166831641
"CO","Colombia","CO05","Antioquia","CO05086","Belmira",1,2.55833333333333,0.736,2.55833333333333,0.736,26,0,0,0,2,1,NA,NA
"CO","Colombia","CO05","Antioquia","CO05086","Belmira",4,9.9531,1.8715,9.9531,1.8715,42,0,0,0,2,1,2.89046254071661,1.54279891304348
"CO","Colombia","CO05","Antioquia","CO05088","Bello",1,19.5062028985507,6.40821739130435,18.7527944927536,6.17724072463768,25361,1,3,3,35,8,NA,NA
"CO","Colombia","CO05","Antioquia","CO05088","Bello",4,19.6345064935065,5.63183766233766,19.425185974026,5.63183766233766,33506,1,3,3,35,8,0.035855535106097,-0.0882923438817433
"CO","Colombia","CO05","Antioquia","CO05091","Betania",1,4.59475,2.36575,4.59475,2.36575,31,0,0,0,0,1,NA,NA
"CO","Colombia","CO05","Antioquia","CO05091","Betania",4,3.62366666666667,1.16716666666667,3.62366666666667,1.16716666666667,42,0,0,0,0,1,-0.211346282895333,-0.506639895734263
"CO","Colombia","CO05","Antioquia","CO05093","Betulia",1,6.44311111111111,1.31544444444444,6.44311111111111,1.31544444444444,310,0,0,0,3,2,NA,NA
"CO","Colombia","CO05","Antioquia","CO05093","Betulia",4,5.011,0.8975,5.011,0.8975,320,0,0,0,3,2,-0.222270124853418,-0.317721091308388
"CO","Colombia","CO05","Antioquia","CO05101","Ciudad Bolivar",1,4.6860625,1.42525,4.6860625,1.42525,325,0,0,0,2,1,NA,NA
"CO","Colombia","CO05","Antioquia","CO05101","Ciudad Bolivar",4,5.104,2.48479166666667,5.104,2.48479166666667,425,0,0,0,2,1,0.0891873507875749,0.743407589311817
"CO","Colombia","CO05","Antioquia","CO05107","Briceno",1,13.0086666666667,5.53283333333333,13.0086666666667,5.53283333333333,54,0,0,0,9,1,NA,NA
"CO","Colombia","CO05","Antioquia","CO05107","Briceno",4,12.3706666666667,12.849,12.3706666666667,12.849,161,0,0,0,9,1,-0.0490442269256393,1.32231828177245
"CO","Colombia","CO05","Antioquia","CO05113","Buritica",1,13.975,23.5959,13.425632,16.011344,53,0,0,0,2,1,NA,NA
"CO","Colombia","CO05","Antioquia","CO05113","Buritica",4,10.58425,9.51216666666667,10.58425,9.51216666666667,111,0,0,0,2,1,-0.211638602935043,-0.405910792581393
"CO","Colombia","CO05","Antioquia","CO05120","Caceres",1,5.46705882352941,2.56411764705882,5.46705882352941,2.56411764705882,213,0,2,0,26,5,NA,NA
"CO","Colombia","CO05","Antioquia","CO05120","Caceres",4,5.20821428571429,2.51564285714286,5.20821428571429,2.51564285714286,257,0,2,0,26,5,-0.0473462141473762,-0.01890505686101
"CO","Colombia","CO05","Antioquia","CO05125","Caicedo",1,12.37375,1.84875,12.37375,1.84875,37,0,0,0,3,1,NA,NA
"CO","Colombia","CO05","Antioquia","CO05125","Caicedo",4,4.233,2.8962,4.233,2.8962,54,0,0,0,3,1,-0.657904838872613,0.56657200811359
"CO","Colombia","CO05","Antioquia","CO05129","Caldas",1,15.4489038461538,6.12946153846154,15.4489038461538,6.12946153846154,2208,1,0,0,1,2,NA,NA
