"ADM2_PC","amenities","ADM2_ES","ADM1_PC","ADM1_ES","ADM0_PC","ADM0_ES","value"
"CO41503","school","Oporapa","CO41","Huila","CO","Colombia",5
"CO41524","school","Palermo","CO41","Huila","CO","Colombia",2
"CO41530","school","Palestina","CO41","Huila","CO","Colombia",11
"CO41548","school","Pital","CO41","Huila","CO","Colombia",15
"CO41551","school","Pitalito","CO41","Huila","CO","Colombia",35
"CO41615","school","Rivera","CO41","Huila","CO","Colombia",5
"CO41660","school","Saladoblanco","CO41","Huila","CO","Colombia",13
"CO41668","school","San Agustín","CO41","Huila","CO","Colombia",19
"CO41676","school","Santa María","CO41","Huila","CO","Colombia",27
"CO41770","school","Suaza","CO41","Huila","CO","Colombia",4
"CO41791","school","Tarqui","CO41","Huila","CO","Colombia",7
"CO41799","school","Tello","CO41","Huila","CO","Colombia",1
"CO41801","school","Teruel","CO41","Huila","CO","Colombia",10
"CO41807","school","Timaná","CO41","Huila","CO","Colombia",9
"CO41872","school","Villavieja","CO41","Huila","CO","Colombia",1
"CO41885","school","Yaguará","CO41","Huila","CO","Colombia",1
"CO44001","school","Riohacha","CO44","La Guajira","CO","Colombia",221
"CO44035","school","Albania","CO44","La Guajira","CO","Colombia",1
"CO44078","school","Barrancas","CO44","La Guajira","CO","Colombia",35
"CO44090","school","Dibulla","CO44","La Guajira","CO","Colombia",26
"CO44098","school","Distracción","CO44","La Guajira","CO","Colombia",12
"CO44110","school","El Molino","CO44","La Guajira","CO","Colombia",5
"CO44279","school","Fonseca","CO44","La Guajira","CO","Colombia",30
"CO44378","school","Hatonuevo","CO44","La Guajira","CO","Colombia",13
"CO44420","school","La Jagua del Pilar","CO44","La Guajira","CO","Colombia",2
"CO44430","school","Maicao","CO44","La Guajira","CO","Colombia",60
"CO44560","school","Manaure","CO44","La Guajira","CO","Colombia",28
"CO44650","school","San Juan del Cesar","CO44","La Guajira","CO","Colombia",35
"CO44847","school","Uribia","CO44","La Guajira","CO","Colombia",114
"CO44855","school","Urumita","CO44","La Guajira","CO","Colombia",9
"CO44874","school","Villanueva","CO44","La Guajira","CO","Colombia",15
"CO47001","school","Santa Marta","CO47","Magdalena","CO","Colombia",86
"CO47053","school","Aracataca","CO47","Magdalena","CO","Colombia",1
"CO47189","school","Ciénaga","CO47","Magdalena","CO","Colombia",20
"CO47205","school","Concordia","CO47","Magdalena","CO","Colombia",3
"CO47245","school","El Banco","CO47","Magdalena","CO","Colombia",10
"CO47288","school","Fundación","CO47","Magdalena","CO","Colombia",2
"CO47460","school","Nueva Granada","CO47","Magdalena","CO","Colombia",1
"CO47570","school","Puebloviejo","CO47","Magdalena","CO","Colombia",1
"CO47692","school","San Sebastián de Buenavista","CO47","Magdalena","CO","Colombia",2
"CO47745","school","Sitionuevo","CO47","Magdalena","CO","Colombia",2
"CO47798","school","Tenerife","CO47","Magdalena","CO","Colombia",1
"CO50001","school","Villavicencio","CO50","Meta","CO","Colombia",51
"CO50006","school","Acacías","CO50","Meta","CO","Colombia",10
"CO50110","school","Barranca de Upía","CO50","Meta","CO","Colombia",1
"CO50223","school","Cubarral","CO50","Meta","CO","Colombia",1
"CO50245","school","El Calvario","CO50","Meta","CO","Colombia",2
"CO50251","school","El Castillo","CO50","Meta","CO","Colombia",7
"CO50270","school","El Dorado","CO50","Meta","CO","Colombia",3
"CO50287","school","Fuente de Oro","CO50","Meta","CO","Colombia",6
"CO50313","school","Granada","CO50","Meta","CO","Colombia",5
"CO50318","school","Guamal","CO50","Meta","CO","Colombia",9
"CO50325","school","Mapiripán","CO50","Meta","CO","Colombia",2
"CO50330","school","Mesetas","CO50","Meta","CO","Colombia",6
"CO50350","school","La Macarena","CO50","Meta","CO","Colombia",12
"CO50370","school","Uribe","CO50","Meta","CO","Colombia",5
"CO50400","school","Lejanías","CO50","Meta","CO","Colombia",3
"CO50450","school","Puerto Concordia","CO50","Meta","CO","Colombia",5
"CO50568","school","Puerto Gaitán","CO50","Meta","CO","Colombia",7
"CO50573","school","Puerto López","CO50","Meta","CO","Colombia",11
"CO50577","school","Puerto Lleras","CO50","Meta","CO","Colombia",9
"CO50590","school","Puerto Rico","CO50","Meta","CO","Colombia",15
"CO50606","school","Restrepo","CO50","Meta","CO","Colombia",1
"CO50680","school","San Carlos de Guaroa","CO50","Meta","CO","Colombia",3
"CO50683","school","San Juan de Arama","CO50","Meta","CO","Colombia",3
"CO50686","school","San Juanito","CO50","Meta","CO","Colombia",4
"CO50711","school","Vistahermosa","CO50","Meta","CO","Colombia",19
"CO52001","school","Pasto","CO52","Nariño","CO","Colombia",46
"CO52019","school","Albán","CO52","Nariño","CO","Colombia",11
"CO52083","school","Belén","CO52","Nariño","CO","Colombia",2
"CO52110","school","Buesaco","CO52","Nariño","CO","Colombia",25
"CO52203","school","Colón","CO52","Nariño","CO","Colombia",12
"CO52207","school","Consacá","CO52","Nariño","CO","Colombia",4
"CO52210","school","Contadero","CO52","Nariño","CO","Colombia",1
"CO52224","school","Cuaspud Carlosama","CO52","Nariño","CO","Colombia",2
"CO52227","school","Cumbal","CO52","Nariño","CO","Colombia",5
"CO52240","school","Chachagüí","CO52","Nariño","CO","Colombia",3
"CO52258","school","El Tablón de Gómez","CO52","Nariño","CO","Colombia",14
"CO52317","school","Guachucal","CO52","Nariño","CO","Colombia",1
"CO52323","school","Gualmatán","CO52","Nariño","CO","Colombia",1
"CO52352","school","Iles","CO52","Nariño","CO","Colombia",3
"CO52354","school","Imués","CO52","Nariño","CO","Colombia",6
"CO52356","school","Ipiales","CO52","Nariño","CO","Colombia",20
"CO52378","school","La Cruz","CO52","Nariño","CO","Colombia",31
"CO52381","school","La Florida","CO52","Nariño","CO","Colombia",6
"CO52399","school","La Unión","CO52","Nariño","CO","Colombia",14
"CO52405","school","Leiva","CO52","Nariño","CO","Colombia",6
"CO52411","school","Linares","CO52","Nariño","CO","Colombia",1
"CO52506","school","Ospina","CO52","Nariño","CO","Colombia",2
"CO52540","school","Policarpa","CO52","Nariño","CO","Colombia",5
"CO52560","school","Potosí","CO52","Nariño","CO","Colombia",6
"CO52573","school","Puerres","CO52","Nariño","CO","Colombia",9
"CO52612","school","Ricaurte","CO52","Nariño","CO","Colombia",1
"CO52621","school","Roberto Payán","CO52","Nariño","CO","Colombia",3
"CO52678","school","Samaniego","CO52","Nariño","CO","Colombia",4
"CO52683","school","Sandoná","CO52","Nariño","CO","Colombia",7
"CO52685","school","San Bernardo","CO52","Nariño","CO","Colombia",10
"CO52687","school","San Lorenzo","CO52","Nariño","CO","Colombia",3
"CO52693","school","San Pablo","CO52","Nariño","CO","Colombia",12
"CO52694","school","San Pedro de Cartago","CO52","Nariño","CO","Colombia",6
"CO52696","school","Santa Bárbara","CO52","Nariño","CO","Colombia",1
"CO52786","school","Taminango","CO52","Nariño","CO","Colombia",11
"CO52835","school","San Andrés de Tumaco","CO52","Nariño","CO","Colombia",4
"CO52838","school","Túquerres","CO52","Nariño","CO","Colombia",14
"CO54001","school","San José de Cúcuta","CO54","Norte de Santander","CO","Colombia",130
"CO54003","school","Ábrego","CO54","Norte de Santander","CO","Colombia",2
"CO54051","school","Arboledas","CO54","Norte de Santander","CO","Colombia",2
"CO54099","school","Bochalema","CO54","Norte de Santander","CO","Colombia",4
"CO54109","school","Bucarasica","CO54","Norte de Santander","CO","Colombia",4
"CO54128","school","Cáchira","CO54","Norte de Santander","CO","Colombia",2
"CO54172","school","Chinácota","CO54","Norte de Santander","CO","Colombia",17
"CO54206","school","Convención","CO54","Norte de Santander","CO","Colombia",5
"CO54245","school","El Carmen","CO54","Norte de Santander","CO","Colombia",5
"CO54261","school","El Zulia","CO54","Norte de Santander","CO","Colombia",2
"CO54385","school","La Esperanza","CO54","Norte de Santander","CO","Colombia",2
"CO54405","school","Los Patios","CO54","Norte de Santander","CO","Colombia",8
"CO54418","school","Lourdes","CO54","Norte de Santander","CO","Colombia",1
"CO54498","school","Ocaña","CO54","Norte de Santander","CO","Colombia",16
"CO54518","school","Pamplona","CO54","Norte de Santander","CO","Colombia",8
"CO54553","school","Puerto Santander","CO54","Norte de Santander","CO","Colombia",4
"CO54599","school","Ragonvalia","CO54","Norte de Santander","CO","Colombia",1
"CO54670","school","San Calixto","CO54","Norte de Santander","CO","Colombia",7
"CO54720","school","Sardinata","CO54","Norte de Santander","CO","Colombia",51
"CO54800","school","Teorama","CO54","Norte de Santander","CO","Colombia",8
"CO54810","school","Tibú","CO54","Norte de Santander","CO","Colombia",27
"CO54820","school","Toledo","CO54","Norte de Santander","CO","Colombia",3
"CO54874","school","Villa del Rosario","CO54","Norte de Santander","CO","Colombia",38
"CO63001","school","Armenia","CO63","Quindio","CO","Colombia",47
"CO63111","school","Buenavista","CO63","Quindio","CO","Colombia",2
"CO63130","school","Calarcá","CO63","Quindio","CO","Colombia",19
"CO63190","school","Circasia","CO63","Quindio","CO","Colombia",5
"CO63212","school","Córdoba","CO63","Quindio","CO","Colombia",4
"CO63272","school","Filandia","CO63","Quindio","CO","Colombia",7
"CO63302","school","Génova","CO63","Quindio","CO","Colombia",5
"CO63470","school","Montenegro","CO63","Quindio","CO","Colombia",6
"CO63548","school","Pijao","CO63","Quindio","CO","Colombia",5
"CO63594","school","Quimbaya","CO63","Quindio","CO","Colombia",10
"CO63690","school","Salento","CO63","Quindio","CO","Colombia",6
"CO66001","school","Pereira","CO66","Risaralda","CO","Colombia",70
"CO66045","school","Apía","CO66","Risaralda","CO","Colombia",2
"CO66075","school","Balboa","CO66","Risaralda","CO","Colombia",2
"CO66088","school","Belén de Umbría","CO66","Risaralda","CO","Colombia",10
"CO66170","school","Dosquebradas","CO66","Risaralda","CO","Colombia",20
"CO66318","school","Guática","CO66","Risaralda","CO","Colombia",1
"CO66383","school","La Celia","CO66","Risaralda","CO","Colombia",2
"CO66400","school","La Virginia","CO66","Risaralda","CO","Colombia",4
"CO66440","school","Marsella","CO66","Risaralda","CO","Colombia",15
"CO66456","school","Mistrató","CO66","Risaralda","CO","Colombia",4
"CO66572","school","Pueblo Rico","CO66","Risaralda","CO","Colombia",7
"CO66682","school","Santa Rosa de Cabal","CO66","Risaralda","CO","Colombia",33
"CO66687","school","Santuario","CO66","Risaralda","CO","Colombia",2
"CO68001","school","Bucaramanga","CO68","Santander","CO","Colombia",32
"CO68013","school","Aguada","CO68","Santander","CO","Colombia",1
"CO68020","school","Albania","CO68","Santander","CO","Colombia",3
"CO68051","school","Aratoca","CO68","Santander","CO","Colombia",21
"CO68077","school","Barbosa","CO68","Santander","CO","Colombia",13
"CO68079","school","Barichara","CO68","Santander","CO","Colombia",5
"CO68081","school","Barrancabermeja","CO68","Santander","CO","Colombia",22
"CO68092","school","Betulia","CO68","Santander","CO","Colombia",4
"CO68101","school","Bolívar","CO68","Santander","CO","Colombia",21
"CO68121","school","Cabrera","CO68","Santander","CO","Colombia",7
"CO68132","school","California","CO68","Santander","CO","Colombia",3
"CO68147","school","Capitanejo","CO68","Santander","CO","Colombia",9
"CO68152","school","Carcasí","CO68","Santander","CO","Colombia",32
"CO68162","school","Cerrito","CO68","Santander","CO","Colombia",9
"CO68167","school","Charalá","CO68","Santander","CO","Colombia",14
"CO68169","school","Charta","CO68","Santander","CO","Colombia",14
"CO68179","school","Chipatá","CO68","Santander","CO","Colombia",3
"CO68190","school","Cimitarra","CO68","Santander","CO","Colombia",13
"CO68207","school","Concepción","CO68","Santander","CO","Colombia",23
"CO68209","school","Confines","CO68","Santander","CO","Colombia",1
"CO68211","school","Contratación","CO68","Santander","CO","Colombia",5
"CO68217","school","Coromoro","CO68","Santander","CO","Colombia",3
"CO68229","school","Curití","CO68","Santander","CO","Colombia",18
"CO68235","school","El Carmen de Chucuri","CO68","Santander","CO","Colombia",27
"CO68250","school","El Peñón","CO68","Santander","CO","Colombia",6
"CO68255","school","El Playón","CO68","Santander","CO","Colombia",2
"CO68264","school","Encino","CO68","Santander","CO","Colombia",11
"CO68266","school","Enciso","CO68","Santander","CO","Colombia",2
"CO68271","school","Florián","CO68","Santander","CO","Colombia",24
"CO68276","school","Floridablanca","CO68","Santander","CO","Colombia",22
"CO68296","school","Galán","CO68","Santander","CO","Colombia",3
"CO68298","school","Gámbita","CO68","Santander","CO","Colombia",3
"CO68307","school","Girón","CO68","Santander","CO","Colombia",2
"CO68318","school","Guaca","CO68","Santander","CO","Colombia",31
"CO68320","school","Guadalupe","CO68","Santander","CO","Colombia",21
"CO68322","school","Guapotá","CO68","Santander","CO","Colombia",2
"CO68324","school","Guavatá","CO68","Santander","CO","Colombia",3
"CO68327","school","Güepsa","CO68","Santander","CO","Colombia",5
"CO68344","school","Hato","CO68","Santander","CO","Colombia",11
"CO68368","school","Jesús María","CO68","Santander","CO","Colombia",5
"CO68370","school","Jordán","CO68","Santander","CO","Colombia",1
"CO68377","school","La Belleza","CO68","Santander","CO","Colombia",29
"CO68385","school","Landázuri","CO68","Santander","CO","Colombia",21
"CO68397","school","La Paz","CO68","Santander","CO","Colombia",2
"CO68406","school","Lebrija","CO68","Santander","CO","Colombia",2
"CO68418","school","Los Santos","CO68","Santander","CO","Colombia",2
"CO68425","school","Macaravita","CO68","Santander","CO","Colombia",14
"CO68432","school","Málaga","CO68","Santander","CO","Colombia",20
"CO68444","school","Matanza","CO68","Santander","CO","Colombia",2
"CO68468","school","Molagavita","CO68","Santander","CO","Colombia",15
"CO68498","school","Ocamonte","CO68","Santander","CO","Colombia",1
"CO68500","school","Oiba","CO68","Santander","CO","Colombia",14
"CO68502","school","Onzaga","CO68","Santander","CO","Colombia",1
"CO68522","school","Palmar","CO68","Santander","CO","Colombia",3
"CO68524","school","Palmas del Socorro","CO68","Santander","CO","Colombia",1
"CO68533","school","Páramo","CO68","Santander","CO","Colombia",1
"CO68547","school","Piedecuesta","CO68","Santander","CO","Colombia",11
"CO68549","school","Pinchote","CO68","Santander","CO","Colombia",2
"CO68572","school","Puente Nacional","CO68","Santander","CO","Colombia",37
"CO68573","school","Puerto Parra","CO68","Santander","CO","Colombia",3
"CO68575","school","Puerto Wilches","CO68","Santander","CO","Colombia",4
"CO68615","school","Rionegro","CO68","Santander","CO","Colombia",2
"CO68655","school","Sabana de Torres","CO68","Santander","CO","Colombia",3
"CO68669","school","San Andrés","CO68","Santander","CO","Colombia",10
"CO68673","school","San Benito","CO68","Santander","CO","Colombia",1
"CO68679","school","San Gil","CO68","Santander","CO","Colombia",16
"CO68684","school","San José de Miranda","CO68","Santander","CO","Colombia",6
"CO68686","school","San Miguel","CO68","Santander","CO","Colombia",14
"CO68689","school","San Vicente de Chucurí","CO68","Santander","CO","Colombia",29
"CO68705","school","Santa Bárbara","CO68","Santander","CO","Colombia",13
"CO68745","school","Simacota","CO68","Santander","CO","Colombia",3
"CO68755","school","Socorro","CO68","Santander","CO","Colombia",3
"CO68770","school","Suaita","CO68","Santander","CO","Colombia",3
"CO68773","school","Sucre","CO68","Santander","CO","Colombia",32
"CO68780","school","Suratá","CO68","Santander","CO","Colombia",3
"CO68820","school","Tona","CO68","Santander","CO","Colombia",3
"CO68855","school","Valle de San José","CO68","Santander","CO","Colombia",12
"CO68861","school","Vélez","CO68","Santander","CO","Colombia",19
"CO68867","school","Vetas","CO68","Santander","CO","Colombia",1
"CO68872","school","Villanueva","CO68","Santander","CO","Colombia",9
"CO68895","school","Zapatoca","CO68","Santander","CO","Colombia",31
"CO70001","school","Sincelejo","CO70","Sucre","CO","Colombia",31
"CO70110","school","Buenavista","CO70","Sucre","CO","Colombia",1
"CO70204","school","Colosó","CO70","Sucre","CO","Colombia",2
"CO70215","school","Corozal","CO70","Sucre","CO","Colombia",2
"CO70221","school","Coveñas","CO70","Sucre","CO","Colombia",2
"CO70400","school","La Unión","CO70","Sucre","CO","Colombia",3
"CO70418","school","Los Palmitos","CO70","Sucre","CO","Colombia",9
"CO70429","school","Majagual","CO70","Sucre","CO","Colombia",2
"CO70473","school","Morroa","CO70","Sucre","CO","Colombia",3
"CO70670","school","Sampués","CO70","Sucre","CO","Colombia",3
"CO70702","school","San Juan de Betulia","CO70","Sucre","CO","Colombia",1
"CO70713","school","San Onofre","CO70","Sucre","CO","Colombia",3
"CO70717","school","San Pedro","CO70","Sucre","CO","Colombia",2
"CO73001","school","Ibagué","CO73","Tolima","CO","Colombia",102
"CO73024","school","Alpujarra","CO73","Tolima","CO","Colombia",5
"CO73030","school","Ambalema","CO73","Tolima","CO","Colombia",3
"CO73043","school","Anzoátegui","CO73","Tolima","CO","Colombia",4
"CO73055","school","Armero","CO73","Tolima","CO","Colombia",6
"CO73067","school","Ataco","CO73","Tolima","CO","Colombia",28
"CO73124","school","Cajamarca","CO73","Tolima","CO","Colombia",3
"CO73148","school","Carmen de Apicalá","CO73","Tolima","CO","Colombia",3
"CO73152","school","Casabianca","CO73","Tolima","CO","Colombia",6
"CO73168","school","Chaparral","CO73","Tolima","CO","Colombia",25
"CO73200","school","Coello","CO73","Tolima","CO","Colombia",4
"CO73217","school","Coyaima","CO73","Tolima","CO","Colombia",13
"CO73226","school","Cunday","CO73","Tolima","CO","Colombia",15
"CO73236","school","Dolores","CO73","Tolima","CO","Colombia",5
"CO73268","school","Espinal","CO73","Tolima","CO","Colombia",37
"CO73270","school","Falan","CO73","Tolima","CO","Colombia",12
"CO73283","school","Fresno","CO73","Tolima","CO","Colombia",4
"CO73319","school","Guamo","CO73","Tolima","CO","Colombia",14
"CO73347","school","Herveo","CO73","Tolima","CO","Colombia",5
"CO73349","school","Honda","CO73","Tolima","CO","Colombia",7
"CO73352","school","Icononzo","CO73","Tolima","CO","Colombia",17
"CO73408","school","Lérida","CO73","Tolima","CO","Colombia",9
"CO73411","school","Líbano","CO73","Tolima","CO","Colombia",30
"CO73443","school","San Sebastián de Mariquita","CO73","Tolima","CO","Colombia",13
"CO73449","school","Melgar","CO73","Tolima","CO","Colombia",9
"CO73461","school","Murillo","CO73","Tolima","CO","Colombia",11
"CO73483","school","Natagaima","CO73","Tolima","CO","Colombia",8
"CO73504","school","Ortega","CO73","Tolima","CO","Colombia",11
"CO73520","school","Palocabildo","CO73","Tolima","CO","Colombia",3
"CO73555","school","Planadas","CO73","Tolima","CO","Colombia",9
"CO73563","school","Prado","CO73","Tolima","CO","Colombia",3
"CO73585","school","Purificación","CO73","Tolima","CO","Colombia",8
"CO73616","school","Rioblanco","CO73","Tolima","CO","Colombia",16
"CO73622","school","Roncesvalles","CO73","Tolima","CO","Colombia",1
"CO73624","school","Rovira","CO73","Tolima","CO","Colombia",9
"CO73671","school","Saldaña","CO73","Tolima","CO","Colombia",4
"CO73675","school","San Antonio","CO73","Tolima","CO","Colombia",10
"CO73678","school","San Luis","CO73","Tolima","CO","Colombia",8
"CO73686","school","Santa Isabel","CO73","Tolima","CO","Colombia",5
"CO73770","school","Suárez","CO73","Tolima","CO","Colombia",2
"CO73854","school","Valle de San Juan","CO73","Tolima","CO","Colombia",5
"CO73861","school","Venadillo","CO73","Tolima","CO","Colombia",6
"CO73870","school","Villahermosa","CO73","Tolima","CO","Colombia",5
"CO73873","school","Villarrica","CO73","Tolima","CO","Colombia",6
"CO76001","school","Cali","CO76","Valle del Cauca","CO","Colombia",221
"CO76020","school","Alcalá","CO76","Valle del Cauca","CO","Colombia",2
"CO76036","school","Andalucía","CO76","Valle del Cauca","CO","Colombia",2
"CO76041","school","Ansermanuevo","CO76","Valle del Cauca","CO","Colombia",1
"CO76109","school","Buenaventura","CO76","Valle del Cauca","CO","Colombia",5
"CO76111","school","Guadalajara de Buga","CO76","Valle del Cauca","CO","Colombia",10
"CO76113","school","Bugalagrande","CO76","Valle del Cauca","CO","Colombia",1
"CO76122","school","Caicedonia","CO76","Valle del Cauca","CO","Colombia",5
"CO76130","school","Candelaria","CO76","Valle del Cauca","CO","Colombia",12
"CO76147","school","Cartago","CO76","Valle del Cauca","CO","Colombia",5
"CO76248","school","El Cerrito","CO76","Valle del Cauca","CO","Colombia",8
"CO76275","school","Florida","CO76","Valle del Cauca","CO","Colombia",5
"CO76318","school","Guacarí","CO76","Valle del Cauca","CO","Colombia",1
"CO76364","school","Jamundí","CO76","Valle del Cauca","CO","Colombia",17
"CO76377","school","La Cumbre","CO76","Valle del Cauca","CO","Colombia",1
"CO76400","school","La Unión","CO76","Valle del Cauca","CO","Colombia",1
"CO76520","school","Palmira","CO76","Valle del Cauca","CO","Colombia",49
"CO76563","school","Pradera","CO76","Valle del Cauca","CO","Colombia",1
"CO76622","school","Roldanillo","CO76","Valle del Cauca","CO","Colombia",3
"CO76670","school","San Pedro","CO76","Valle del Cauca","CO","Colombia",2
"CO76736","school","Sevilla","CO76","Valle del Cauca","CO","Colombia",13
"CO76828","school","Trujillo","CO76","Valle del Cauca","CO","Colombia",2
"CO76834","school","Tuluá","CO76","Valle del Cauca","CO","Colombia",54
"CO76845","school","Ulloa","CO76","Valle del Cauca","CO","Colombia",3
"CO76863","school","Versalles","CO76","Valle del Cauca","CO","Colombia",2
"CO76890","school","Yotoco","CO76","Valle del Cauca","CO","Colombia",4
"CO76892","school","Yumbo","CO76","Valle del Cauca","CO","Colombia",27
"CO76895","school","Zarzal","CO76","Valle del Cauca","CO","Colombia",7
"CO81001","school","Arauca","CO81","Arauca","CO","Colombia",11
"CO81065","school","Arauquita","CO81","Arauca","CO","Colombia",19
"CO81220","school","Cravo Norte","CO81","Arauca","CO","Colombia",2
"CO81300","school","Fortul","CO81","Arauca","CO","Colombia",1
"CO81591","school","Puerto Rondón","CO81","Arauca","CO","Colombia",1
"CO81736","school","Saravena","CO81","Arauca","CO","Colombia",5
"CO81794","school","Tame","CO81","Arauca","CO","Colombia",1
"CO85001","school","Yopal","CO85","Casanare","CO","Colombia",54
"CO85010","school","Aguazul","CO85","Casanare","CO","Colombia",4
"CO85015","school","Chámeza","CO85","Casanare","CO","Colombia",3
"CO85125","school","Hato Corozal","CO85","Casanare","CO","Colombia",2
"CO85139","school","Maní","CO85","Casanare","CO","Colombia",3
"CO85225","school","Nunchía","CO85","Casanare","CO","Colombia",1
"CO85230","school","Orocué","CO85","Casanare","CO","Colombia",4
"CO85250","school","Paz de Ariporo","CO85","Casanare","CO","Colombia",2
"CO85279","school","Recetor","CO85","Casanare","CO","Colombia",1
"CO85300","school","Sabanalarga","CO85","Casanare","CO","Colombia",3
"CO85315","school","Sácama","CO85","Casanare","CO","Colombia",1
"CO85325","school","San Luis de Palenque","CO85","Casanare","CO","Colombia",3
"CO85400","school","Támara","CO85","Casanare","CO","Colombia",3
"CO85410","school","Tauramena","CO85","Casanare","CO","Colombia",5
"CO85430","school","Trinidad","CO85","Casanare","CO","Colombia",3
"CO85440","school","Villanueva","CO85","Casanare","CO","Colombia",13
"CO86001","school","Mocoa","CO86","Putumayo","CO","Colombia",25
"CO86320","school","Orito","CO86","Putumayo","CO","Colombia",58
"CO86568","school","Puerto Asís","CO86","Putumayo","CO","Colombia",13
"CO86569","school","Puerto Caicedo","CO86","Putumayo","CO","Colombia",5
"CO86571","school","Puerto Guzmán","CO86","Putumayo","CO","Colombia",7
"CO86573","school","Puerto Leguízamo","CO86","Putumayo","CO","Colombia",24
"CO86749","school","Sibundoy","CO86","Putumayo","CO","Colombia",4
"CO86755","school","San Francisco","CO86","Putumayo","CO","Colombia",4
"CO86757","school","San Miguel","CO86","Putumayo","CO","Colombia",4
"CO86760","school","Santiago","CO86","Putumayo","CO","Colombia",4
"CO86865","school","Valle del Guamuez","CO86","Putumayo","CO","Colombia",31
"CO86885","school","Villagarzón","CO86","Putumayo","CO","Colombia",13
"CO88001","school","San Andrés","CO88","Archipiélago de San Andrés, Providencia y Santa Catalina","CO","Colombia",6
"CO88564","school","Providencia","CO88","Archipiélago de San Andrés, Providencia y Santa Catalina","CO","Colombia",2
"CO91001","school","Leticia","CO91","Amazonas","CO","Colombia",27
"CO91407","school","La Pedrera","CO91","Amazonas","CO","Colombia",2
"CO91540","school","Puerto Nariño","CO91","Amazonas","CO","Colombia",1
"CO94001","school","Inírida","CO94","Guainía","CO","Colombia",9
"CO94343","school","Barrancominas","CO94","Guainía","CO","Colombia",1
"CO95001","school","San José del Guaviare","CO95","Guaviare","CO","Colombia",32
"CO95015","school","Calamar","CO95","Guaviare","CO","Colombia",11
"CO95025","school","El Retorno","CO95","Guaviare","CO","Colombia",10
"CO95200","school","Miraflores","CO95","Guaviare","CO","Colombia",3
"CO97001","school","Mitú","CO97","Vaupés","CO","Colombia",11
"CO97777","school","Papunahua","CO97","Vaupés","CO","Colombia",1
"CO99001","school","Puerto Carreño","CO99","Vichada","CO","Colombia",5
"CO99773","school","Cumaribo","CO99","Vichada","CO","Colombia",13
"CO05001","hospital","Medellín","CO05","Antioquia","CO","Colombia",100
"CO05002","hospital","Abejorral","CO05","Antioquia","CO","Colombia",2
"CO05004","hospital","Abriaquí","CO05","Antioquia","CO","Colombia",1
"CO05021","hospital","Alejandría","CO05","Antioquia","CO","Colombia",1
"CO05030","hospital","Amagá","CO05","Antioquia","CO","Colombia",1
"CO05031","hospital","Amalfi","CO05","Antioquia","CO","Colombia",1
"CO05034","hospital","Andes","CO05","Antioquia","CO","Colombia",2
"CO05036","hospital","Angelópolis","CO05","Antioquia","CO","Colombia",2
"CO05038","hospital","Angostura","CO05","Antioquia","CO","Colombia",1
"CO05042","hospital","Santa Fé de Antioquia","CO05","Antioquia","CO","Colombia",1
"CO05044","hospital","Anzá","CO05","Antioquia","CO","Colombia",1
"CO05045","hospital","Apartadó","CO05","Antioquia","CO","Colombia",13
"CO05051","hospital","Arboletes","CO05","Antioquia","CO","Colombia",1
"CO05055","hospital","Argelia","CO05","Antioquia","CO","Colombia",1
"CO05059","hospital","Armenia","CO05","Antioquia","CO","Colombia",1
"CO05079","hospital","Barbosa","CO05","Antioquia","CO","Colombia",1
"CO05086","hospital","Belmira","CO05","Antioquia","CO","Colombia",1
"CO05088","hospital","Bello","CO05","Antioquia","CO","Colombia",8
"CO05091","hospital","Betania","CO05","Antioquia","CO","Colombia",1
"CO05093","hospital","Betulia","CO05","Antioquia","CO","Colombia",2
"CO05101","hospital","Ciudad Bolívar","CO05","Antioquia","CO","Colombia",1
"CO05107","hospital","Briceño","CO05","Antioquia","CO","Colombia",1
"CO05113","hospital","Buriticá","CO05","Antioquia","CO","Colombia",1
"CO05120","hospital","Cáceres","CO05","Antioquia","CO","Colombia",5
"CO05125","hospital","Caicedo","CO05","Antioquia","CO","Colombia",1
"CO05129","hospital","Caldas","CO05","Antioquia","CO","Colombia",2
"CO05134","hospital","Campamento","CO05","Antioquia","CO","Colombia",2
"CO05138","hospital","Cañasgordas","CO05","Antioquia","CO","Colombia",2
"CO05142","hospital","Caracolí","CO05","Antioquia","CO","Colombia",1
"CO05145","hospital","Caramanta","CO05","Antioquia","CO","Colombia",1
"CO05147","hospital","Carepa","CO05","Antioquia","CO","Colombia",1
"CO05148","hospital","El Carmen de Viboral","CO05","Antioquia","CO","Colombia",1
"CO05150","hospital","Carolina","CO05","Antioquia","CO","Colombia",1
"CO05154","hospital","Caucasia","CO05","Antioquia","CO","Colombia",2
"CO05172","hospital","Chigorodó","CO05","Antioquia","CO","Colombia",1
"CO05190","hospital","Cisneros","CO05","Antioquia","CO","Colombia",1
"CO05197","hospital","Cocorná","CO05","Antioquia","CO","Colombia",3
"CO05206","hospital","Concepción","CO05","Antioquia","CO","Colombia",1
"CO05209","hospital","Concordia","CO05","Antioquia","CO","Colombia",1
"CO05212","hospital","Copacabana","CO05","Antioquia","CO","Colombia",2
"CO05237","hospital","Donmatías","CO05","Antioquia","CO","Colombia",1
"CO05240","hospital","Ebéjico","CO05","Antioquia","CO","Colombia",1
"CO05250","hospital","El Bagre","CO05","Antioquia","CO","Colombia",1
"CO05264","hospital","Entrerríos","CO05","Antioquia","CO","Colombia",1
